,occupation
21799,0
24846,12
28365,0
28603,16
29523,13
495,
643,2
11097,
17368,
21367,
27447,
200,0
1106,11
1583,24
1802,2
1979,
2072,
2199,24
3233,0
3279,7
3408,12
3520,0
4703,0
5137,
5310,0
5399,6
5892,
6345,12
7964,
8567,1
8973,19
12023,
15231,
15540,19
15710,14
15744,7
16145,1
16229,4
16283,
16653,
16690,
17095,1
17557,22
17594,
17767,0
18536,0
18654,0
18740,
18903,23
19008,
19265,24
19391,7
20165,9
20251,0
21038,
21044,
21369,
21791,
22127,
22689,1
23310,16
23777,
24358,20
29025,0
29717,0
29837,-1
29919,
30153,1
30205,24
30432,1
30815,1
94,0
140,
241,13
301,0
350,6
445,24
455,6
464,
475,0
504,0
533,
550,1
725,1
1018,23
1079,7
1087,0
1191,7
1196,6
1220,-1
1221,2
1246,0
1281,
1288,6
1296,6
1512,0
1552,6
1672,
1731,24
1929,-1
1949,15
2032,
2060,-1
2156,0
2174,
2197,26
2310,14
2314,24
2327,15
2342,-1
2632,13
2953,
3100,7
3212,
3353,1
3368,19
3420,1
3452,
3522,6
3594,
3604,0
3628,
3689,9
3738,0
3759,0
3826,16
3859,
3861,1
3864,6
3885,2
3951,2
4078,2
4728,
4793,
4819,0
4869,
5028,22
5150,1
5175,1
5188,12
5206,
5302,21
5372,6
5441,6
5452,24
5471,-1
5790,2
6003,26
7588,26
7969,1
8086,6
8343,6
8477,22
8537,
8658,0
8692,13
9220,
9907,0
10755,26
11205,-1
11440,
11708,12
12410,13
12430,
13038,1
13341,1
13638,6
13952,0
14045,18
14280,24
14719,22
15547,
15562,24
15777,0
15900,6
16044,
16183,0
16213,0
16234,0
16686,
16709,22
16815,1
16830,0
16989,6
17186,
17194,22
17288,
17339,1
17350,9
17424,
17519,
17896,14
18599,2
18665,13
18691,6
18764,1
18819,0
18995,24
19092,
19118,2
19139,2
19313,0
19410,
19488,
19653,24
19707,14
19709,7
19754,7
19804,
19845,1
19852,1
19885,0
20415,0
20762,0
21154,0
21331,
21521,
21670,13
21788,
23321,6
23470,8
24385,1
24571,-1
24650,7
25147,0
25427,0
25551,0
25583,0
25695,0
25824,1
25863,1
25936,1
26371,0
28846,1
28861,-1
29163,
29246,0
29331,
29366,24
29414,
29415,24
29704,22
29817,0
30030,15
30077,6
30246,1
30336,1
30622,1
4962,26
159,4
519,15
1414,
5131,1
13091,
15837,
18248,2
19340,
19859,
21657,1
22511,13
162,
371,
1026,8
1147,0
1374,26
1449,13
1482,0
2087,0
2315,7
2429,
3124,
3395,1
5075,1
7159,-1
7873,12
8416,
8572,
8729,
11492,1
11725,14
12086,1
12777,13
12839,
13645,
14499,
15645,0
17111,14
18718,1
18832,0
18953,11
19032,
19126,0
20107,
20134,
20766,13
21593,0
21862,0
21961,7
28684,13
28924,22
30157,0
31045,0
568,7
572,4
590,0
763,9
773,23
886,23
1716,22
1778,10
2139,7
2223,1
3757,0
3857,22
3957,12
4043,0
4089,0
5170,
5292,15
5349,
5507,0
5657,24
5669,10
9247,14
9337,-1
12706,7
13354,
13392,7
13445,7
14052,24
14058,1
16553,10
16556,13
16763,0
16887,
17138,-1
17360,0
17606,0
17607,4
17654,26
17683,
17854,
17862,21
19132,24
19593,
19842,0
19962,
21114,8
21954,22
26193,6
30397,13
30855,22
30956,1
989,0
1099,-1
1155,26
1359,12
1550,0
2815,
2986,
3816,13
4501,0
4951,0
5002,14
5062,
5375,1
8375,13
9038,
10806,16
11863,0
12911,14
13056,-1
13370,
15031,0
15487,12
16580,12
17009,13
19654,7
20423,0
20840,
24991,
25284,1
25434,
25515,6
25567,24
26344,7
27645,7
28724,23
29842,26
29862,
342,0
2660,14
2661,7
4335,
4551,7
4859,7
8530,
9217,
12415,1
12538,0
13662,0
15392,17
16248,26
16878,9
17034,22
19525,13
19713,1
20337,
20454,8
20909,
25949,7
29778,24
30374,15
59,
242,15
370,0
553,1
611,0
731,22
1126,9
1479,15
1517,8
1614,9
1669,7
1701,7
1927,7
1996,13
2157,0
2224,-1
2420,6
2443,0
2457,0
2949,0
2962,8
2967,22
3336,0
3486,6
3497,1
3587,0
3698,6
3729,0
3810,7
4714,0
4732,13
4804,26
4813,15
4838,0
4887,2
4915,6
4925,0
4927,1
4954,26
5200,0
5254,
5382,16
7962,-1
8709,7
8748,1
9061,13
9159,22
9228,
9275,1
9312,0
9620,0
11189,16
12170,
12401,13
12609,7
12765,
13628,0
15779,0
16295,19
16660,7
17054,9
17168,0
17330,1
17530,0
17647,0
18375,
18583,
19190,7
19443,0
19617,7
20437,7
23097,0
24928,9
25205,0
25683,22
26037,0
27309,0
28423,22
28834,6
29006,2
29302,24
29986,13
30059,4
70,6
125,7
133,24
187,1
190,0
226,24
258,
284,0
328,24
378,22
440,
454,0
473,22
494,
547,6
607,
969,26
1021,1
1051,12
1161,13
1183,23
1236,0
1254,26
1434,14
1528,22
1685,12
1763,1
1953,21
2003,0
2071,0
2098,0
2381,9
2450,1
2692,11
2778,12
3164,0
3179,0
3218,
3275,0
3278,
3349,0
3399,0
3465,13
3546,6
3622,13
3648,0
3668,0
3720,0
3760,1
3775,12
3819,23
4065,14
4177,1
4474,0
4543,
4611,0
4713,6
4741,1
4758,22
4883,1
5104,
5107,9
5128,0
5176,0
5209,22
5459,5
6123,1
6839,24
7122,
7401,0
7766,22
7771,14
8559,1
8809,0
8901,12
8933,13
10248,7
10997,4
12050,0
12103,13
12404,0
12985,1
13376,2
14851,0
15007,
15197,
15298,0
15521,22
15604,0
15827,0
16156,0
16172,13
16390,14
16440,0
16670,14
16755,0
16816,
16902,13
17077,0
17127,0
17957,
18101,7
18244,22
18389,
18399,
18948,
19062,7
19578,-1
20980,13
21030,7
21157,
21630,
23002,1
24006,15
24612,-1
24704,23
25086,7
25246,18
25445,23
25512,
25527,-1
25676,6
25825,
25951,1
25974,0
26066,-1
26091,7
26103,0
26138,13
26150,14
26184,19
26191,6
26218,7
27355,0
27651,13
27714,7
28295,0
28342,0
28366,9
28696,15
29166,
29391,1
29590,
29605,0
29787,22
29812,26
30266,2
30766,0
254,6
439,
774,20
813,6
838,0
1682,
1693,
1792,
1839,1
2123,13
2185,7
2254,7
2330,0
2517,7
2536,22
3087,0
3477,9
3683,1
3849,0
5022,
8754,
9171,
9182,24
16057,
16427,6
16593,1
16642,24
16643,2
16723,20
16924,
17311,0
17349,0
17443,2
17467,7
17676,13
17758,6
18561,7
19458,0
19666,7
21094,7
21905,0
22238,7
24378,23
25260,0
29892,
30045,
30737,0
30779,22
30895,7
31093,
1268,7
656,6
25344,
31931,1
91,13
310,0
314,1
405,0
451,
492,0
506,
578,-1
602,-1
612,0
638,0
649,
711,0
1141,7
1145,
1389,1
1402,7
1452,9
1575,
1626,-1
1973,0
2008,
2255,0
2283,-1
2466,7
2488,1
2495,12
3188,9
3247,4
3335,0
3388,1
3530,18
3562,
3578,1
3817,6
3842,
4699,12
4805,20
4860,1
5045,
5121,
5136,1
5443,13
6650,7
7603,
7637,13
8870,13
8967,
10083,7
11772,26
12132,12
12277,
12894,
13126,0
13200,23
13357,
13380,13
15264,6
15347,23
15370,26
15536,1
15657,6
15815,1
16359,9
16693,26
16950,1
17255,0
17881,0
18119,22
18177,15
18295,1
18492,7
19005,
19085,19
19141,4
19223,2
20089,1
20347,0
20667,0
20792,7
21244,12
21567,20
22596,
23341,7
24678,-1
24683,-1
24967,0
25015,-1
25115,9
25119,22
25225,22
25587,0
25706,-1
25937,26
27524,
27778,1
28009,
29077,
29115,
29251,
29298,2
29362,20
29441,0
29444,12
29725,1
195,0
216,21
244,
247,4
387,0
395,7
531,22
993,26
1307,7
1318,-1
1442,0
1537,9
1652,7
1733,
2010,7
2063,0
2404,
2940,7
3382,0
3431,23
3479,14
3535,15
3737,4
3823,0
4317,12
4459,14
4644,0
4679,9
4944,
5390,1
5435,26
5442,6
5460,0
6515,7
7255,
7324,18
7936,
8414,2
8436,6
8997,14
9327,
11756,23
12099,12
12178,24
12240,13
12371,
12515,
12768,26
13202,-1
13218,1
15647,6
15674,
15843,22
16064,14
16285,7
16327,13
16581,13
16632,6
16875,9
16885,
16977,
17106,0
17249,7
17362,1
17597,2
18226,13
18664,9
18730,7
18842,-1
19165,
19312,7
19407,1
20789,14
22374,15
22912,
23131,0
24058,
24236,23
24899,0
25162,2
26147,10
28073,0
28097,0
28182,1
28745,6
28809,
28880,23
29178,26
29234,13
30443,0
13132,14
14427,7
19484,7
20425,6
496,
591,
808,
1861,
1862,14
2507,13
3945,
3961,7
4731,
5456,0
5496,
5559,12
9499,
13295,
13328,6
16078,8
16895,
17038,
17483,11
17766,0
17779,0
19143,
24002,2
26415,0
26420,
26704,13
30248,
30805,0
30904,
31031,
13838,
14839,
17734,13
22084,
26493,7
30176,24
529,1
790,11
867,1
977,
1262,22
2247,
3130,
3502,15
3603,
4680,7
4937,0
5220,0
5462,
7079,0
8453,6
9235,7
9952,
13708,
16161,
17153,6
18040,
19753,0
19868,1
21254,0
22515,
28831,1
2136,13
4486,5
26963,22
527,0
573,0
1046,0
2374,0
3704,
9402,4
12193,
16240,
18619,4
19138,22
24701,0
25184,1
27577,1
188,0
274,
376,0
596,0
737,0
859,13
928,0
1186,0
1216,
1430,
1472,0
1599,15
1670,0
1717,24
1933,1
2048,4
2245,7
2383,
2764,7
2977,12
3006,1
3514,6
3593,
3692,9
4307,1
4654,24
4753,0
4886,9
5040,1
5342,26
5365,16
5433,24
5455,26
6567,1
6879,
8085,
8287,0
8457,9
8701,19
9178,1
10410,1
10811,1
11449,1
11952,19
12268,12
12835,-1
13156,0
13381,6
13433,
13436,2
13450,0
14653,0
15139,22
15782,1
15904,
16549,7
17226,
17241,0
17380,0
17917,0
18145,
18174,24
18507,0
18512,
18720,4
18890,
19133,4
19275,1
19282,22
19559,22
19663,13
20777,6
20897,
21337,0
21941,
24530,
24826,
24962,
25853,13
25879,0
25980,2
25999,0
26076,1
26167,-1
26205,0
26954,
28475,11
28682,
28787,0
29048,26
29392,6
29724,24
30101,6
30133,
30323,2
30504,
31198,0
1970,7
5196,26
8165,
13270,
30351,22
101,20
292,0
315,7
385,
409,15
586,2
760,0
958,20
995,0
1006,7
1054,24
1072,11
1353,0
1471,6
1560,
1598,12
1872,0
2117,0
2291,4
2367,24
2427,0
2810,26
3125,13
3127,
3498,12
3795,0
4653,7
4774,12
4850,9
4904,
5023,1
5036,24
5311,9
5428,13
6050,
6654,0
6874,7
7142,0
7889,
8108,1
8418,2
8667,22
8961,2
9001,26
9385,6
10695,2
11580,1
11992,13
12288,0
12357,0
12677,12
12969,0
13213,1
13397,2
15256,13
15349,
15493,0
15544,2
15631,18
15653,0
15846,
16175,0
16185,2
16406,26
16606,11
16662,22
16782,12
17197,0
18361,7
18426,0
18504,-1
18586,0
19186,22
19368,23
19673,12
20147,0
20240,1
20744,
21133,24
21264,
21618,20
21796,0
22955,19
23505,0
23606,1
24255,24
25612,
26217,20
28897,0
28928,2
29175,0
29209,6
29731,22
29975,0
30321,0
30418,22
30494,0
30820,-1
307,
381,21
732,0
1451,0
1565,1
1621,26
1715,0
2480,
5501,
9539,6
12207,1
13103,0
13384,
16177,1
16187,0
19394,13
19479,0
19557,
19586,0
19592,
19597,1
19854,0
21701,1
21705,1
21733,2
26164,8
124,1
148,1
176,
179,0
206,-1
209,8
211,
230,13
255,14
266,7
273,1
276,0
278,0
289,7
296,5
311,23
356,7
362,0
487,
507,12
524,0
537,1
960,9
1061,9
1089,1
1114,26
1115,-1
1156,7
1226,7
1252,
1312,11
1407,1
1431,9
1588,0
1602,7
1630,
1638,
1648,0
1671,
1674,
1691,0
1692,26
1734,7
1875,7
1910,21
1916,0
1920,
1944,13
1983,-1
2000,
2039,0
2049,24
2059,-1
2091,7
2092,0
2169,7
2200,7
2288,0
2325,
2326,
2337,7
2365,
2788,
2877,
2978,
2999,0
3059,22
3084,0
3116,9
3150,0
3172,
3175,1
3176,4
3183,0
3232,
3260,4
3283,16
3316,9
3328,0
3456,0
3501,0
3555,7
3582,
3613,-1
3624,0
3634,14
3665,
3695,15
3701,1
3717,4
3756,
3948,
4223,
4285,
4306,4
4381,
4511,-1
4617,0
4633,22
4641,8
4662,5
4705,4
4708,0
4726,
4730,
4796,20
4834,1
4866,-1
4889,21
4905,9
4949,11
4993,7
5001,12
5015,-1
5027,15
5033,1
5055,26
5067,0
5068,7
5081,9
5094,0
5126,
5138,0
5149,6
5192,
5205,0
5235,0
5239,-1
5253,
5262,13
5269,0
5276,
5298,0
5301,7
5304,7
5314,7
5316,-1
5339,0
5356,9
5380,13
5411,7
5692,
5711,7
5878,14
5880,7
6220,6
6423,7
7046,0
7067,
7081,1
7130,7
7383,9
7402,14
7803,1
7843,23
8266,
8340,21
8376,7
8461,1
8513,0
8690,0
8702,0
8708,
8843,0
8910,
8913,20
9058,7
9120,6
9150,
9244,
9285,0
10568,11
10631,-1
10959,0
11167,
11402,0
11596,0
11664,6
11808,18
11827,
11910,1
11925,1
11937,18
11939,18
11983,
12034,0
12137,6
12185,0
12640,0
12775,0
12948,-1
12971,
13539,
13626,7
14019,7
14178,-1
14228,11
14379,13
14580,
14597,7
15416,0
15421,14
15502,13
15532,
15585,
15594,1
15793,0
15811,0
15872,26
16058,0
16170,
16178,0
16209,0
16233,14
16298,10
16306,0
16399,0
16419,6
16601,
16720,
16751,
16769,
16889,0
17996,26
18085,7
18357,
18543,7
18613,
18615,0
18672,0
18688,
18699,12
18974,7
19015,
19120,7
19210,
19414,0
19469,7
19581,
19685,14
19686,7
19795,2
20070,0
20138,7
20177,19
20297,8
20326,7
20343,
20579,0
20592,0
20657,1
20829,6
20845,7
20912,-1
20936,9
21017,21
21182,16
21262,0
21315,
21412,-1
21489,13
21661,0
21766,7
22613,
22846,26
23197,0
23377,7
23706,12
24296,13
24532,0
24627,14
24651,0
24681,0
24728,24
24841,7
25092,4
25125,
25382,4
25430,-1
25546,0
25754,1
25901,1
25904,
25954,4
26053,0
27257,7
27425,4
27678,11
27780,7
27884,7
28001,-1
28070,0
28082,0
28187,22
28222,7
28269,0
28317,9
28320,
28494,0
28744,
28749,9
28780,
28856,0
28987,-1
29026,6
29268,0
29337,0
29581,13
29647,
29752,
29859,
29866,0
29927,6
29984,0
29990,12
30125,7
30290,6
30292,12
30354,-1
30421,7
30792,0
31150,-1
31607,22
12,1
69,12
78,
93,
107,
119,22
123,0
160,
164,6
198,0
291,
302,6
345,4
368,23
511,
600,
645,
661,22
684,-1
687,16
695,15
705,7
728,7
756,7
767,18
833,0
837,0
842,16
848,26
861,-1
865,10
866,
883,6
900,-1
913,21
920,
939,1
941,7
953,0
967,
990,7
991,15
998,
1001,11
1028,7
1038,22
1049,7
1059,0
1066,1
1097,2
1107,16
1110,0
1133,0
1138,26
1142,-1
1174,7
1176,0
1178,7
1199,0
1218,21
1229,0
1240,-1
1257,0
1309,2
1314,
1335,-1
1340,
1372,4
1383,
1410,7
1467,15
1486,6
1503,
1527,15
1578,8
1637,11
1697,0
1703,
1704,10
1709,0
1714,7
1726,26
1728,0
1730,22
1738,1
1743,13
1744,
1750,-1
1755,2
1756,7
1760,7
1762,7
1777,0
1788,0
1796,-1
1801,0
1803,0
1808,0
1811,4
1816,-1
1819,13
1824,
1827,0
1830,0
1831,
1833,7
1834,1
1842,7
1847,7
1853,0
1856,1
1858,0
1863,1
1866,0
1868,7
1877,1
1879,18
1885,0
1891,11
1900,7
1901,6
1903,7
1904,17
1926,1
1940,15
1942,8
1945,1
1957,-1
1958,4
1969,0
1980,1
1985,-1
1989,1
1992,0
1998,0
2005,7
2006,7
2012,1
2016,7
2017,4
2018,7
2021,
2022,14
2026,12
2028,23
2030,
2052,1
2078,18
2083,1
2085,4
2097,11
2101,
2106,26
2107,13
2122,23
2155,
2162,-1
2166,0
2171,
2180,7
2189,14
2191,0
2192,7
2205,26
2207,7
2210,21
2212,23
2214,4
2215,0
2219,5
2220,8
2222,-1
2225,0
2355,7
2392,6
2397,-1
2475,
2482,4
2489,-1
2497,0
2505,0
2511,-1
2521,0
2526,13
2528,7
2539,
2546,14
2549,-1
2551,7
2552,0
2565,19
2567,7
2574,1
2576,7
2578,7
2583,0
2585,0
2588,5
2590,7
2595,
2601,8
2602,
2605,1
2606,
2609,8
2616,0
2623,
2625,-1
2629,
2664,21
2672,0
2675,
2678,
2683,0
2685,6
2688,0
2690,1
2698,0
2700,0
2705,
2710,
2713,0
2720,
2728,
2731,13
2734,-1
2736,6
2737,23
2751,1
2754,0
2759,7
2761,7
2762,0
2771,20
2772,
2787,0
2794,
2796,
2803,0
2806,0
2813,0
2823,0
2824,0
2825,-1
2831,0
2844,21
2851,23
2862,7
2869,7
2881,-1
2890,7
2896,24
2897,
2900,
2909,0
2917,7
2923,21
2928,4
2932,8
2938,24
2942,0
2954,0
2965,0
2969,13
2974,13
2976,
2982,6
2984,1
2991,
3001,0
3005,
3008,22
3042,26
3054,4
3063,0
3069,26
3076,6
3079,22
3104,9
3105,7
3111,0
3129,1
3131,
3148,7
3165,4
3167,2
3168,0
3184,-1
3194,9
3205,-1
3206,17
3208,7
3213,0
3216,0
3222,0
3223,
3234,
3240,14
3241,0
3257,0
3281,4
3290,
3292,11
3313,1
3318,19
3356,9
3421,9
3575,0
3635,0
3726,0
3869,24
3917,7
3928,7
3976,7
4024,13
4032,-1
4038,2
4040,0
4041,
4045,
4046,0
4070,13
4073,-1
4084,6
4085,
4108,
4119,0
4120,0
4129,14
4140,0
4157,17
4162,15
4168,23
4169,23
4171,
4176,
4179,26
4182,
4189,12
4197,7
4198,7
4208,0
4211,4
4213,9
4215,16
4216,0
4224,0
4246,0
4247,0
4253,1
4254,
4260,0
4276,
4281,1
4291,14
4295,1
4298,13
4299,12
4303,22
4304,4
4309,0
4321,0
4324,13
4327,1
4355,1
4361,16
4365,7
4366,7
4369,13
4374,0
4379,7
4388,0
4390,15
4392,-1
4395,11
4413,26
4414,-1
4424,0
4426,5
4434,0
4440,13
4445,26
4449,4
4462,6
4463,26
4467,
4489,4
4499,
4502,12
4504,1
4509,8
4512,12
4513,9
4523,0
4528,4
4561,22
4567,0
4573,11
4574,0
4579,-1
4587,7
4588,-1
4591,
4598,6
4602,17
4608,9
4627,0
4630,4
4638,4
4640,
4648,26
4663,0
4664,17
4670,23
4671,26
4676,
4688,1
4692,7
4693,0
4717,
4765,0
4766,
4768,
4770,23
4801,26
4815,0
4837,-1
4840,
4855,0
4861,0
4875,-1
5359,7
5565,23
5639,0
5646,23
5654,
5678,15
5688,7
5719,0
5724,
5733,13
5740,
5743,
5758,7
5767,7
5773,7
5804,0
5810,22
5815,1
5823,6
5828,13
5847,0
5891,13
5923,0
5924,7
5945,14
5956,
5973,
5986,
5995,1
6010,26
6037,0
6040,1
6052,13
6067,17
6075,
6079,0
6096,
6098,4
6174,
6186,0
6194,8
6221,13
6248,0
6252,1
6311,0
6313,0
6328,26
6338,0
6394,9
6395,-1
6444,
6464,0
6500,
6519,
6525,0
6533,13
6573,
6576,0
6598,
6599,1
6614,0
6647,8
6674,17
6705,16
6722,20
6741,
6754,17
6757,20
6802,22
6813,1
6825,0
6861,0
6885,7
6910,2
6930,4
6934,9
6944,1
6975,0
6978,0
7021,14
7077,-1
7132,24
7192,0
7195,0
7205,1
7230,13
7264,
7289,0
7295,
7299,7
7309,0
7412,-1
7427,0
7502,12
7516,0
7524,-1
7627,0
7655,6
7663,0
7812,23
7907,
8012,17
8041,0
8115,
8149,13
8828,13
8959,
9218,1
9579,
9641,13
9713,6
9794,13
9820,7
9823,0
9828,7
9835,0
9859,0
9866,12
9898,23
9927,26
9935,-1
9939,14
9983,9
9984,7
10002,0
10003,
10018,7
10035,
10072,13
10074,-1
10078,0
10084,9
10110,7
10138,0
10142,0
10146,16
10214,7
10236,11
10241,
10242,0
10250,
10258,0
10259,-1
10277,7
10279,0
10282,7
10305,0
10322,0
10349,0
10375,0
10384,26
10400,1
10420,
10436,0
10437,0
10439,22
10460,4
10465,0
10479,26
10483,0
10523,20
10546,13
10548,22
10553,0
10561,26
10567,6
10610,6
10612,0
10613,12
10614,
10618,
10626,24
10632,24
10653,2
10656,0
10694,7
10732,6
10742,7
10791,7
10814,1
10858,0
10862,0
10893,9
10918,8
10934,15
10941,-1
10951,7
11015,-1
11043,7
11074,0
11119,0
11135,0
11147,
11170,13
11175,1
11223,19
11227,13
11230,
11248,
11332,9
11336,
11360,8
11393,
11396,24
11400,20
11403,1
11454,9
11469,1
11506,24
11573,
11676,13
11682,0
11684,4
11730,0
11810,0
11813,0
11898,13
11916,0
11931,9
12219,0
12248,0
13363,4
13617,7
13650,0
13656,
13714,7
13721,11
13792,11
13812,0
13856,7
13896,
13897,21
13923,8
13926,18
13944,14
13961,0
13981,-1
14035,12
14063,0
14065,7
14090,0
14102,
14103,7
14140,20
14144,2
14151,20
14159,-1
14205,
14222,
14232,1
14237,14
14241,21
14245,0
14339,0
14400,12
14463,
14527,0
14539,7
14596,6
14611,0
14649,13
14662,0
14681,0
14698,7
14718,0
14720,7
14739,
14746,2
14753,26
14818,19
14838,0
14843,0
14854,2
14884,0
14886,1
14951,6
14965,
14974,1
14980,23
14988,0
15026,
15057,0
15067,0
15136,
15146,-1
15210,23
15243,0
15247,
15270,19
15351,0
15353,6
15365,15
15401,
15549,-1
15703,23
15757,6
15759,24
15806,0
15993,1
16173,7
17304,2
17312,1
17320,11
17354,
17517,21
17523,0
17525,0
17575,-1
17642,9
17668,19
17680,2
17688,0
17692,-1
17695,
17698,
17699,-1
17704,8
17714,
17719,0
17749,20
17771,7
17786,1
17792,
17805,11
17807,12
17897,0
17899,
17903,0
17919,7
17945,
17954,-1
17968,0
17976,5
17991,22
18010,
18013,2
18015,1
18034,0
18092,-1
18099,7
18102,23
18113,
18120,13
18148,23
18160,0
18165,12
18172,1
18235,
18237,0
18336,14
18363,-1
18395,
18408,26
18438,-1
18462,4
18465,1
18466,
18485,0
18520,0
18538,-1
18584,
18590,
18622,
18628,0
18695,1
18714,9
18724,13
18726,
18731,-1
18966,1
18968,1
18971,14
19016,0
19019,14
19064,16
19075,-1
19110,12
19113,4
19221,
19248,0
19321,7
19338,7
19512,15
19572,6
19621,7
19635,14
19657,0
19696,8
19720,0
19808,
19814,
19846,4
19865,0
19873,16
19887,7
19889,-1
19908,16
19909,12
19913,
19914,1
19918,18
19923,
19937,16
19949,-1
19958,18
19969,13
19976,1
19983,1
19984,7
20003,1
20006,
20009,8
20010,13
20018,6
20029,13
20037,7
20041,7
20056,0
20058,9
20071,23
20073,0
20097,
20103,0
20109,7
20110,22
20115,4
20133,-1
20151,1
20152,
20158,10
20162,
20166,4
20173,16
20190,14
20205,7
20242,13
20247,0
20279,
20285,26
20298,16
20301,
20311,1
20317,0
20319,1
20332,1
20335,0
20344,0
20364,7
20371,13
20395,
20409,7
20419,7
20438,
20443,7
20453,18
20470,
20488,0
20562,22
20570,0
20571,-1
20630,
20640,7
20663,0
20665,
20672,
20673,19
20674,0
20693,7
20742,0
20758,15
20772,-1
20811,1
20820,24
20940,23
20984,20
21036,1
21069,-1
21100,9
21184,7
21188,
21248,
21313,22
21419,24
21526,-1
21541,8
21590,15
21866,26
21918,0
21958,
22000,7
22009,1
22014,0
22072,7
22102,26
22113,16
22125,
22136,9
22149,6
22150,13
22181,
22184,7
22190,18
22200,
22224,0
22239,0
22260,9
22267,0
22290,-1
22298,0
22303,0
22348,22
22352,7
22396,0
22400,
22406,0
22451,7
22478,9
22480,7
22492,-1
22521,16
22522,23
22557,-1
22567,24
22568,20
22595,
22611,13
22612,0
22623,0
22633,
22648,
22652,0
22653,
22655,4
22665,-1
22676,13
22696,0
22744,1
22750,
22751,0
22755,0
22763,0
22771,1
22789,
22813,2
22824,20
22831,0
22837,0
22851,13
22864,13
22876,14
22897,14
22913,6
22938,2
22963,13
22964,1
23009,1
23040,0
23048,22
23085,13
23096,0
23127,8
23130,1
23183,0
23198,4
23204,1
23215,
23224,0
23229,-1
23248,
23267,0
23269,13
23294,7
23295,0
23318,15
23330,0
23337,
23350,0
23358,0
23378,9
23387,23
23423,
23431,7
23471,-1
23475,4
23476,0
23486,0
23499,
23545,
23560,
23582,13
23599,
23623,0
23628,23
23645,-1
23648,22
23677,0
23682,0
23715,13
23727,9
23731,0
23739,1
23748,1
23753,14
23772,6
23774,-1
23775,0
23836,0
23853,
23899,13
23913,7
23923,0
23959,9
23961,0
24003,0
24041,0
24057,-1
24099,0
24230,
24235,0
24241,14
24245,
24390,
24488,0
24537,0
24538,0
24558,24
24576,0
24583,13
24647,0
24668,2
24684,0
24695,0
24742,19
24746,9
24767,0
24777,14
24797,
24872,0
24906,12
24920,-1
24971,0
24977,7
25041,0
25137,0
25167,
25336,0
25374,
25553,-1
25593,
25732,6
25823,0
26149,7
26401,0
26408,7
26438,12
26482,1
26484,0
26498,7
26516,7
26518,7
26524,-1
26551,6
26554,
26575,
26579,6
26598,
26604,0
26612,13
26618,12
26625,13
26641,0
26654,1
26658,18
26689,13
26697,24
26699,0
26740,13
26750,8
26762,0
26820,-1
26849,19
26862,
26891,7
26897,17
26902,
26975,15
26990,
26992,
27007,1
27031,23
27045,
27056,1
27082,0
27101,0
27156,7
27160,12
27200,0
27210,
27216,0
27246,
27248,13
27255,0
27287,0
27308,0
27335,-1
27359,7
27369,0
27400,17
27407,7
27437,24
27439,0
27468,6
27471,23
27474,7
27477,0
27479,
27527,0
27534,20
27563,0
27572,0
27579,4
27587,17
27593,-1
27608,4
27617,-1
27636,0
27648,24
27676,1
27712,6
27726,-1
27749,0
27757,12
27768,6
27771,2
27782,6
27804,1
27813,
27834,22
27847,
27869,
27873,6
27874,12
27880,
27921,9
27944,0
27952,23
27961,12
27989,0
28036,7
28037,0
28063,0
28088,1
28163,7
28165,13
28167,16
28168,0
28171,-1
28193,
28195,
28257,6
28277,-1
28339,15
28353,0
28359,
28360,9
28361,
28388,15
28408,0
28521,0
28572,0
28629,7
28630,0
28641,0
28709,0
28715,7
28721,0
28726,
28775,-1
28781,0
28815,9
28828,
28849,13
28890,
28927,
28978,6
29109,19
29160,1
29269,4
30264,0
30474,7
30507,-1
30532,
30558,1
30572,7
30574,0
30579,0
30637,
30650,9
30684,7
30686,8
30703,13
30722,
30759,15
30777,0
30780,19
30794,0
30817,7
30823,0
30824,
30828,7
30830,13
30832,
30864,23
30868,0
30908,
30909,18
30910,13
30937,1
30942,4
30946,
30947,23
30948,0
30955,1
30963,0
30993,0
30994,
30998,7
31004,26
31007,7
31008,0
31012,0
31022,
31029,9
31068,1
31075,7
31085,13
31134,4
31151,7
31155,6
31169,
31174,13
31195,0
31203,
31226,11
31240,1
31246,1
31253,0
31257,23
31285,
31297,9
31315,0
31337,-1
31338,0
31342,0
31356,23
31367,13
31382,
31384,0
31424,
31426,-1
31428,2
31442,7
31460,23
31478,
31489,0
31492,-1
31523,
31571,0
31596,20
31601,14
31634,0
31645,
31652,13
31665,0
31671,
31677,13
31752,-1
31763,4
31788,-1
31797,6
31832,
31864,0
31919,0
31924,0
31927,0
31957,13
31976,1
32011,0
32020,7
32042,0
74,
1214,0
2904,
5694,-1
14786,13
14889,4
15097,21
15232,
16086,0
18873,1
20524,22
21191,0
263,1
575,24
3066,2
12505,1
26254,24
1086,
1379,
1845,0
2600,14
4371,13
6613,1
10910,0
14175,7
14908,0
17820,1
18228,0
27414,0
28618,26
30866,0
299,7
625,11
671,1
868,14
898,
901,
1456,0
1783,13
1810,5
2469,0
3733,22
3893,12
3898,0
3909,
3942,
3943,
5295,1
5647,22
9002,2
9606,0
9814,0
13290,1
13811,
13814,-1
13977,24
13995,22
14010,
17050,0
17448,2
17671,4
17823,2
17849,
18570,0
19066,7
19114,0
19456,0
19509,0
19533,
20112,26
22051,22
22104,23
