,occupation
44608,15
44727,7
45254,0
45528,0
45572,24
45610,0
45855,0
45927,1
46022,19
46035,0
46091,8
46104,0
46124,4
46153,7
46288,0
46290,1
46363,0
46366,16
46419,1
46474,1
46527,23
46552,
46582,20
46611,0
46667,0
46751,0
46806,22
47210,22
47751,0
47811,22
47860,1
47870,0
47896,1
47903,0
47932,0
47969,1
48022,9
48069,0
48081,16
48088,
48089,1
48106,0
48108,0
48111,
48115,15
48119,2
48125,6
48127,14
48136,24
48200,
48216,11
48235,0
48251,10
48329,2
48359,-1
48368,15
48372,2
48425,-1
48436,22
48439,0
48461,-1
48504,8
48591,0
48620,
48669,
48672,1
48691,6
48692,0
48807,0
48821,0
48833,22
48841,0
48963,4
49148,0
49226,23
49413,1
49459,1
49461,0
49510,7
49538,26
49556,-1
49571,
49576,0
49579,
49583,6
49625,6
49649,0
49703,0
49723,0
49739,1
49769,1
49772,1
49792,22
49796,0
49891,1
49919,0
49930,0
49942,13
50004,16
50234,1
50240,7
50247,0
50352,8
50353,2
50423,22
50425,4
50445,1
50448,0
50462,7
50509,0
50511,6
50528,4
50533,0
50542,26
50594,0
50685,8
50696,9
50704,22
50859,0
51219,0
51223,0
51271,24
51340,0
51372,1
51374,0
51412,19
51417,0
51435,
51442,1
51496,17
51506,0
51524,14
51610,
51675,13
51684,15
51730,1
51869,15
51924,7
51968,22
51986,17
52044,24
52125,1
52204,0
52299,7
52323,0
52618,0
52965,22
53044,0
53155,0
435,9
565,6
2715,6
2943,0
4480,7
5223,2
11590,12
23372,0
25021,0
27514,0
27549,0
27815,0
28973,7
29082,1
29128,0
29407,1
31695,1
31765,7
31901,-1
40145,1
49302,
50811,16
50981,22
51204,1
51738,0
51763,7
52207,20
52494,4
52776,0
52822,7
52864,
52876,0
52993,7
53023,
26726,13
9282,
37713,1
37956,0
51555,0
1357,10
2237,-1
2537,6
2725,6
13508,0
17980,0
21341,0
22095,7
22430,1
25045,0
25666,
26563,0
26601,0
26811,1
26933,
27562,7
27783,7
27962,7
28785,0
30679,13
31058,7
31364,0
31399,7
31772,7
31831,0
31884,0
31899,0
33017,6
35243,-1
35372,7
35382,
35412,-1
35426,-1
35506,11
35717,6
36375,2
36423,1
36647,0
37159,2
41219,7
44014,1
44201,
47872,13
47926,
47962,12
48018,0
48169,0
48573,22
49354,
49357,0
49407,1
49417,0
49561,0
49573,0
